Row Labels,Rated Power (kW)
Bethel,100
Buckland,100
Chevak,100
Deering,100
Delta Junction,1900
Emmonak,100
Eva Creek,2050
Fire Island,1600
Fire Island Phase 2,1600
Gambell,100
Hooper Bay,100
Kasigluk,100
Kodiak,3000
Kokhanok,90
Kongiganak,90
Kotzebue,1350
Kwigillingok,90
Mekoryuk,100
Nikolski,65
Nome,965
Perryville,2.4
Pilot Point,100
Quinhagak,400
Saint Paul,450
Sand Point,500
Savoonga,100
Selawik,65
Shaktoolik,100
Saint George,95
Tin City,225
Toksook Bay,200
Tuntutuliak,90
Unalakleet,100
Wales,65
